x(i)	y(i)	theta(i)
1.211799	1.321059	2.475758
1.209714	1.322697	2.475549
1.207631	1.324334	2.475331
1.205551	1.325970	2.475103
1.203472	1.327606	2.474865
1.201395	1.329240	2.474617
1.199321	1.330874	2.474359
1.197248	1.332508	2.474091
1.195178	1.334140	2.473813
1.193109	1.335772	2.473526
1.191042	1.337403	2.473228
1.188978	1.339034	2.472920
1.186915	1.340664	2.472602
1.184855	1.342294	2.472274
1.182796	1.343923	2.471936
1.180739	1.345552	2.471589
1.178685	1.347180	2.471231
1.176632	1.348808	2.470863
1.174581	1.350436	2.470484
1.172532	1.352064	2.470096
1.170486	1.353691	2.469698
1.168441	1.355318	2.469290
1.166398	1.356945	2.468871
1.164357	1.358572	2.468443
1.162317	1.360198	2.468004
1.160280	1.361825	2.467555
1.158245	1.363452	2.467096
1.156211	1.365079	2.466627
1.154180	1.366705	2.466148
1.152150	1.368332	2.465659
1.150122	1.369959	2.465160
1.148096	1.371587	2.464650
1.146072	1.373214	2.464131
1.144050	1.374842	2.463601
1.142030	1.376470	2.463061
1.140011	1.378098	2.462511
1.137995	1.379727	2.461951
1.135980	1.381356	2.461381
1.133967	1.382985	2.460801
1.131956	1.384615	2.460211
1.129946	1.386245	2.459610
1.127939	1.387876	2.459000
1.125933	1.389508	2.458379
1.123929	1.391140	2.457749
1.121927	1.392773	2.457108
1.119927	1.394407	2.456458
1.117928	1.396041	2.455797
1.115932	1.397676	2.455126
1.113937	1.399312	2.454445
1.111943	1.400949	2.453755
1.109952	1.402586	2.453054
1.107962	1.404225	2.452343
1.105974	1.405864	2.451623
1.103988	1.407505	2.450892
1.102003	1.409146	2.450152
1.100021	1.410789	2.449402
1.098039	1.412432	2.448641
1.096060	1.414077	2.447871
1.094082	1.415723	2.447091
1.092106	1.417370	2.446302
1.090132	1.419019	2.445502
1.088160	1.420668	2.444693
1.086189	1.422319	2.443874
1.084219	1.423972	2.443045
1.082252	1.425625	2.442207
1.080286	1.427281	2.441359
1.078322	1.428937	2.440501
1.076359	1.430595	2.439633
1.074398	1.432255	2.438756
1.072439	1.433916	2.437870
1.070481	1.435579	2.436974
1.068525	1.437244	2.436068
1.066571	1.438910	2.435153
1.064618	1.440578	2.434228
1.062667	1.442248	2.433294
1.060717	1.443920	2.432351
1.058769	1.445593	2.431398
1.056823	1.447268	2.430436
1.054878	1.448945	2.429464
1.052935	1.450625	2.428484
1.050993	1.452306	2.427494
1.049053	1.453989	2.426495
1.047115	1.455674	2.425487
1.045178	1.457361	2.424469
1.043242	1.459051	2.423443
1.041308	1.460742	2.422408
1.039376	1.462436	2.421363
1.037445	1.464132	2.420310
1.035516	1.465831	2.419248
1.033588	1.467531	2.418177
1.031662	1.469234	2.417097
1.029737	1.470940	2.416008
1.027813	1.472648	2.414911
1.025892	1.474358	2.413805
1.023971	1.476071	2.412690
1.022052	1.477786	2.411567
1.020135	1.479504	2.410435
