t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.1000	0.0000	0.0000	0.0000	0.1383	-0.3407	-0.0300
0.2000	0.0138	0.0000	-0.0341	0.1883	-0.3263	-0.0300
0.3000	0.0326	-0.0006	-0.0739	0.2179	-0.2814	-0.0285
0.4000	0.0544	-0.0023	-0.1114	0.2338	-0.2318	-0.0269
0.5000	0.0776	-0.0049	-0.1432	0.2425	-0.1842	-0.0250
0.6000	0.1016	-0.0083	-0.1686	0.2473	-0.1423	-0.0232
0.7000	0.1260	-0.0125	-0.1879	0.2498	-0.1066	-0.0213
0.8000	0.1505	-0.0171	-0.2020	0.2512	-0.0769	-0.0196
0.9000	0.1752	-0.0222	-0.2115	0.2520	-0.0522	-0.0179
1.0000	0.1998	-0.0275	-0.2174	0.2524	-0.0317	-0.0164
1.1000	0.2244	-0.0329	-0.2200	0.2526	-0.0143	-0.0150
1.2000	0.2491	-0.0384	-0.2200	0.2527	-0.0002	-0.0137
1.3000	0.2738	-0.0439	-0.2178	0.2528	0.0121	-0.0125
1.4000	0.2984	-0.0494	-0.2136	0.2528	0.0227	-0.0113
1.5000	0.3231	-0.0547	-0.2077	0.2528	0.0317	-0.0103
1.6000	0.3479	-0.0600	-0.2004	0.2528	0.0397	-0.0094
1.7000	0.3726	-0.0650	-0.1916	0.2528	0.0476	-0.0084
1.8000	0.3975	-0.0698	-0.1815	0.2528	0.0548	-0.0076
1.9000	0.4223	-0.0744	-0.1701	0.2527	0.0615	-0.0068
2.0000	0.4472	-0.0787	-0.1574	0.2527	0.0690	-0.0060
2.1000	0.4722	-0.0826	-0.1433	0.2527	0.0761	-0.0053
2.2000	0.4972	-0.0862	-0.1280	0.2527	0.0831	-0.0047
2.3000	0.5223	-0.0894	-0.1111	0.2527	0.0914	-0.0040
2.4000	0.5474	-0.0922	-0.0926	0.2527	0.0997	-0.0034
2.5000	0.5725	-0.0946	-0.0726	0.2526	0.1082	-0.0029
2.6000	0.5977	-0.0964	-0.0503	0.2526	0.1201	-0.0022
2.7000	0.6230	-0.0977	-0.0261	0.2526	0.1304	-0.0018
2.8000	0.6482	-0.0983	0.0007	0.2526	0.1447	-0.0011
2.9000	0.6735	-0.0983	0.0303	0.2526	0.1592	-0.0005
3.0000	0.6987	-0.0976	0.0628	0.2526	0.1740	-0.0000
3.1000	0.7239	-0.0960	0.0990	0.2526	0.1939	0.0007
3.2000	0.7491	-0.0935	0.1390	0.2525	0.2139	0.0013
3.3000	0.7741	-0.0900	0.1829	0.2525	0.2340	0.0018
3.4000	0.7989	-0.0854	0.2314	0.2525	0.2571	0.0024
3.5000	0.8235	-0.0796	0.2849	0.2525	0.2827	0.0031
3.6000	0.8477	-0.0725	0.3434	0.2525	0.3070	0.0037
3.7000	0.8715	-0.0640	0.4071	0.2525	0.3331	0.0044
3.8000	0.8947	-0.0540	0.4750	0.2524	0.3527	0.0048
3.9000	0.9171	-0.0425	0.5468	0.2524	0.3717	0.0056
4.0000	0.9387	-0.0293	0.6198	0.2524	0.3773	0.0059
4.1000	0.9592	-0.0147	0.6918	0.2524	0.3726	0.0060
4.2000	0.9787	0.0014	0.7619	0.2524	0.3634	0.0063
4.3000	0.9969	0.0189	0.8287	0.2524	0.3480	0.0064
4.4000	1.0140	0.0375	0.8921	0.2524	0.3312	0.0067
4.5000	1.0298	0.0571	0.9508	0.2523	0.3087	0.0065
4.6000	1.0445	0.0776	1.0052	0.2523	0.2874	0.0065
4.7000	1.0580	0.0989	1.0553	0.2523	0.2651	0.0064
4.8000	1.0704	0.1209	1.1009	0.2523	0.2428	0.0062
4.9000	1.0819	0.1434	1.1425	0.2523	0.2225	0.0061
5.0000	1.0923	0.1663	1.1803	0.2523	0.2024	0.0059
5.1000	1.1020	0.1897	1.2144	0.2523	0.1830	0.0055
5.2000	1.1108	0.2133	1.2455	0.2522	0.1670	0.0055
5.3000	1.1188	0.2372	1.2733	0.2522	0.1500	0.0051
5.4000	1.1262	0.2613	1.2985	0.2522	0.1359	0.0050
5.5000	1.1330	0.2856	1.3211	0.2522	0.1222	0.0047
5.6000	1.1392	0.3101	1.3412	0.2522	0.1091	0.0044
5.7000	1.1450	0.3346	1.3593	0.2522	0.0981	0.0042
5.8000	1.1503	0.3593	1.3755	0.2522	0.0875	0.0040
5.9000	1.1552	0.3840	1.3898	0.2522	0.0778	0.0038
6.0000	1.1597	0.4088	1.4026	0.2521	0.0691	0.0035
6.1000	1.1639	0.4337	1.4138	0.2521	0.0611	0.0033
6.2000	1.1679	0.4586	1.4236	0.2521	0.0533	0.0031
6.3000	1.1715	0.4835	1.4322	0.2521	0.0465	0.0029
6.4000	1.1750	0.5085	1.4395	0.2521	0.0398	0.0027
6.5000	1.1783	0.5335	1.4458	0.2521	0.0337	0.0025
6.6000	1.1815	0.5585	1.4509	0.2521	0.0280	0.0023
6.7000	1.1845	0.5835	1.4551	0.2521	0.0226	0.0021
6.8000	1.1874	0.6085	1.4583	0.2520	0.0175	0.0020
6.9000	1.1902	0.6336	1.4606	0.2520	0.0125	0.0018
7.0000	1.1930	0.6586	1.4620	0.2520	0.0078	0.0016
7.1000	1.1957	0.6837	1.4626	0.2520	0.0031	0.0015
7.2000	1.1985	0.7087	1.4623	0.2520	-0.0014	0.0013
7.3000	1.2012	0.7338	1.4613	0.2520	-0.0059	0.0012
7.4000	1.2039	0.7588	1.4593	0.2520	-0.0106	0.0010
7.5000	1.2067	0.7839	1.4566	0.2520	-0.0150	0.0008
7.6000	1.2096	0.8089	1.4529	0.2519	-0.0198	0.0007
7.7000	1.2126	0.8339	1.4485	0.2519	-0.0242	0.0005
7.8000	1.2157	0.8589	1.4431	0.2519	-0.0292	0.0004
7.9000	1.2189	0.8839	1.4368	0.2519	-0.0343	0.0002
8.0000	1.2222	0.9089	1.4295	0.2519	-0.0395	0.0001
8.1000	1.2258	0.9338	1.4213	0.2519	-0.0449	-0.0001
8.2000	1.2295	0.9587	1.4118	0.2519	-0.0513	-0.0003
8.3000	1.2335	0.9836	1.4012	0.2519	-0.0579	-0.0004
8.4000	1.2378	1.0084	1.3893	0.2519	-0.0646	-0.0006
8.5000	1.2423	1.0332	1.3761	0.2518	-0.0716	-0.0008
8.6000	1.2472	1.0579	1.3613	0.2518	-0.0802	-0.0010
8.7000	1.2524	1.0825	1.3449	0.2518	-0.0890	-0.0012
8.8000	1.2581	1.1071	1.3266	0.2518	-0.0995	-0.0014
8.9000	1.2641	1.1315	1.3062	0.2518	-0.1104	-0.0017
9.0000	1.2707	1.1558	1.2837	0.2518	-0.1216	-0.0019
9.1000	1.2779	1.1800	1.2587	0.2518	-0.1352	-0.0022
9.2000	1.2856	1.2039	1.2311	0.2518	-0.1492	-0.0024
9.3000	1.2940	1.2277	1.2004	0.2518	-0.1658	-0.0028
9.4000	1.3031	1.2511	1.1664	0.2517	-0.1828	-0.0031
9.5000	1.3130	1.2743	1.1286	0.2517	-0.2027	-0.0035
9.6000	1.3238	1.2970	1.0870	0.2517	-0.2226	-0.0038
9.7000	1.3355	1.3193	1.0410	0.2517	-0.2455	-0.0043
9.8000	1.3482	1.3410	0.9906	0.2517	-0.2678	-0.0047
9.9000	1.3620	1.3621	0.9353	0.2517	-0.2925	-0.0053
10.0000	1.3769	1.3823	0.8760	0.2517	-0.3119	-0.0056
10.1000	1.3930	1.4017	0.8125	0.2517	-0.3332	-0.0061
10.2000	1.4104	1.4199	0.7459	0.2517	-0.3479	-0.0064
10.3000	1.4288	1.4370	0.6769	0.2517	-0.3590	-0.0067
10.4000	1.4485	1.4528	0.6073	0.2516	-0.3621	-0.0071
10.5000	1.4691	1.4672	0.5391	0.2516	-0.3555	-0.0072
10.6000	1.4907	1.4801	0.4736	0.2516	-0.3426	-0.0071
10.7000	1.5131	1.4915	0.4110	0.2516	-0.3285	-0.0072
