t	x(t)	y(t)	theta(t)	v(t)	gamma(t)	efa
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.1000	0.0000	0.0000	0.0000	0.1003	-0.3110	-0.0300
0.2000	0.0100	0.0000	-0.0229	0.1355	-0.3029	-0.0300
0.3000	0.0236	-0.0003	-0.0507	0.1669	-0.2743	-0.0292
0.4000	0.0402	-0.0012	-0.0806	0.1893	-0.2408	-0.0284
0.5000	0.0591	-0.0027	-0.1093	0.2059	-0.2046	-0.0272
0.6000	0.0796	-0.0049	-0.1349	0.2182	-0.1691	-0.0259
0.7000	0.1012	-0.0079	-0.1568	0.2272	-0.1364	-0.0246
0.8000	0.1236	-0.0114	-0.1746	0.2339	-0.1071	-0.0232
0.9000	0.1467	-0.0155	-0.1886	0.2388	-0.0814	-0.0219
1.0000	0.1701	-0.0200	-0.1989	0.2425	-0.0590	-0.0206
1.1000	0.1939	-0.0247	-0.2059	0.2452	-0.0399	-0.0194
1.2000	0.2179	-0.0298	-0.2101	0.2471	-0.0236	-0.0182
1.3000	0.2421	-0.0349	-0.2118	0.2486	-0.0094	-0.0170
1.4000	0.2664	-0.0401	-0.2113	0.2497	0.0028	-0.0159
1.5000	0.2908	-0.0454	-0.2088	0.2505	0.0139	-0.0148
1.6000	0.3153	-0.0506	-0.2045	0.2510	0.0235	-0.0138
1.7000	0.3399	-0.0557	-0.1986	0.2515	0.0320	-0.0128
1.8000	0.3645	-0.0606	-0.1913	0.2518	0.0397	-0.0120
1.9000	0.3892	-0.0654	-0.1826	0.2520	0.0475	-0.0111
2.0000	0.4140	-0.0700	-0.1725	0.2522	0.0548	-0.0102
2.1000	0.4389	-0.0743	-0.1611	0.2523	0.0617	-0.0094
2.2000	0.4638	-0.0784	-0.1483	0.2524	0.0694	-0.0086
2.3000	0.4887	-0.0821	-0.1341	0.2525	0.0769	-0.0079
2.4000	0.5138	-0.0855	-0.1184	0.2525	0.0855	-0.0071
2.5000	0.5388	-0.0885	-0.1010	0.2525	0.0941	-0.0064
2.6000	0.5640	-0.0910	-0.0817	0.2525	0.1041	-0.0056
2.7000	0.5891	-0.0931	-0.0606	0.2526	0.1143	-0.0050
2.8000	0.6143	-0.0946	-0.0374	0.2526	0.1247	-0.0044
2.9000	0.6396	-0.0955	-0.0117	0.2526	0.1389	-0.0036
3.0000	0.6648	-0.0958	0.0165	0.2526	0.1515	-0.0030
3.1000	0.6901	-0.0954	0.0478	0.2526	0.1685	-0.0022
3.2000	0.7153	-0.0942	0.0825	0.2526	0.1859	-0.0015
3.3000	0.7405	-0.0921	0.1210	0.2526	0.2059	-0.0008
3.4000	0.7655	-0.0891	0.1634	0.2525	0.2261	-0.0001
3.5000	0.7905	-0.0850	0.2108	0.2525	0.2518	0.0008
3.6000	0.8152	-0.0797	0.2626	0.2525	0.2740	0.0014
3.7000	0.8395	-0.0731	0.3194	0.2525	0.2988	0.0022
3.8000	0.8635	-0.0652	0.3816	0.2525	0.3252	0.0031
3.9000	0.8870	-0.0558	0.4486	0.2525	0.3490	0.0040
4.0000	0.9097	-0.0448	0.5192	0.2525	0.3659	0.0045
4.1000	0.9316	-0.0323	0.5924	0.2525	0.3778	0.0053
4.2000	0.9526	-0.0182	0.6649	0.2525	0.3749	0.0055
4.3000	0.9725	-0.0026	0.7363	0.2525	0.3696	0.0062
4.4000	0.9912	0.0143	0.8045	0.2525	0.3543	0.0063
4.5000	1.0087	0.0325	0.8686	0.2525	0.3351	0.0063
4.6000	1.0250	0.0518	0.9288	0.2525	0.3157	0.0066
4.7000	1.0401	0.0720	0.9847	0.2524	0.2942	0.0067
4.8000	1.0541	0.0930	1.0360	0.2524	0.2719	0.0067
4.9000	1.0669	0.1148	1.0833	0.2524	0.2511	0.0068
